manager,player,mult
Avi,Matthew Stafford,1.25
Avi,James Cook,1.25
Avi,Kyren Williams,1.25
Avi,Puka Nacua,1.25
Avi,Stefon Diggs,1.25
Avi,George Kittle,1.25
Avi,Christian McCaffrey,1.25
Avi,Parker Washington,1.25
Avi,Cam Little,1.25
Avi,Rams Defense,1.25
Alex,Jalen Hurts,1.25
Alex,James Cook,1.25
Alex,Kyren Williams,1.25
Alex,Puka Nacua,1.25
Alex,A.J. Brown,1.25
Alex,George Kittle,1.25
Alex,Saquon Barkley,1.25
Alex,Stefon Diggs,1.25
Alex,Cam Little,1.25
Alex,Broncos Defense,1.25
Daniel,Matthew Stafford,1.25
Daniel,James Cook,1.25
Daniel,Travis Etienne Jr.,1.25
Daniel,Nico Collins,1.25
Daniel,Puka Nacua,1.25
Daniel,Dallas Goedert,1.25
Daniel,Christian McCaffrey,1.25
Daniel,A.J. Brown,1.25
Daniel,Ka'imi Fairbairn,1.25
Daniel,Texans Defense,1.25
3rd & Dinklage ,Matthew Stafford,1.25
3rd & Dinklage ,James Cook,1.25
3rd & Dinklage ,Kyren Williams,1.25
3rd & Dinklage ,Davante Adams,1.25
3rd & Dinklage ,Puka Nacua,1.25
3rd & Dinklage ,George Kittle,1.25
3rd & Dinklage ,Saquon Barkley,1.25
3rd & Dinklage ,A.J. Brown,1.25
3rd & Dinklage ,Andy Borregales,1.25
3rd & Dinklage ,Rams Defense,1.25
Chris,Drake Maye,1.25
Chris,James Cook,1.25
Chris,Saquon Barkley,1.25
Chris,Nico Collins,1.25
Chris,Jaxon Smith-Njigba,1.25
Chris,Hunter Henry,1.25
Chris,Christian McCaffrey,1.25
Chris,Puka Nacua,1.25
Chris,Eddy Pineiro,1.25
Chris,Rams Defense,1.25
Torn ACL,Josh Allen,1.25
Torn ACL,James Cook,1.25
Torn ACL,Kyren Williams,1.25
Torn ACL,Nico Collins,1.25
Torn ACL,Puka Nacua,1.25
Torn ACL,Colston Loveland,1.25
Torn ACL,Saquon Barkley,1.25
Torn ACL,Christian McCaffrey,1.25
Torn ACL,Andy Borregales,1.25
Torn ACL,Eagles Defense,1.25
Andrew,Matthew Stafford,1.25
Andrew,James Cook,1.25
Andrew,Christian McCaffrey,1.25
Andrew,Nico Collins,1.25
Andrew,Puka Nacua,1.25
Andrew,George Kittle,1.25
Andrew,TreVeyon Henderson,1.25
Andrew,DK Metcalf,1.25
Andrew,Chris Boswell,1.25
Andrew,Broncos Defense,1.25
Dan_Fisher,Josh Allen,1.25
Dan_Fisher,James Cook,1.25
Dan_Fisher,Kyren Williams,1.25
Dan_Fisher,Puka Nacua,1.25
Dan_Fisher,A.J. Brown,1.25
Dan_Fisher,Dallas Goedert,1.25
Dan_Fisher,Christian Watson,1.25
Dan_Fisher,Colston Loveland,1.25
Dan_Fisher,Harrison Mevis,1.25
Dan_Fisher,Rams Defense,1.25
Mike Hunt,Drake Maye,1.25
Mike Hunt,James Cook,1.25
Mike Hunt,Kyren Williams,1.25
Mike Hunt,Puka Nacua,1.25
Mike Hunt,A.J. Brown,1.25
Mike Hunt,Colston Loveland,1.25
Mike Hunt,Saquon Barkley,1.25
Mike Hunt,Parker Washington,1.25
Mike Hunt,Cam Little,1.25
Mike Hunt,Texans Defense,1.25
