manager,player,mult,
Avi,Matthew Stafford,2,
Avi,Kyren Williams,2,
Avi,Rhamondre Stevenson,1.25,
Avi,Puka Nacua,2,
Avi,Jaxon Smith-Njigba,1.5,
Avi,Colby Parkinson,1.25,
Avi,Kenneth Walker III,1.25,
Avi,Cooper Kupp,1.25,
Avi,Andy Borregales,1.25,
Avi,Patriots Defense,1.25,
Alex,Sam Darnold,1.5,
Alex,Jaleel McLaughlin,1.25,
Alex,Kyren Williams,2,
Alex,Puka Nacua,2,
Alex,Stefon Diggs,2,
Alex,Evan Engram,1.5,
Alex,Kenneth Walker III,1.5,
Alex,Jaxon Smith-Njigba,1.5,
Alex,Wil Lutz,1.5,
Alex,Broncos Defense,2,
Daniel,Matthew Stafford,2,
Daniel,Kyren Williams,1.25,
Daniel,Kenneth Walker III,1.25,
Daniel,Davante Adams,1.25,
Daniel,Puka Nacua,2,
Daniel,Hunter Henry,1.25,
Daniel,Kayshon Boutte,1.25,
Daniel,Jaxon Smith-Njigba,1.5,
Daniel,Wil Lutz,1.25,
Daniel,Broncos Defense,1.25,
3rd & Dinklage ,Matthew Stafford,2,
3rd & Dinklage ,RJ Harvey,1.5,
3rd & Dinklage ,Kyren Williams,2,
3rd & Dinklage ,Puka Nacua,2,
3rd & Dinklage ,Stefon Diggs,1.5,
3rd & Dinklage ,Evan Engram,1.5,
3rd & Dinklage ,Kenneth Walker III,1.25,
3rd & Dinklage ,Jaxon Smith-Njigba,1.5,
3rd & Dinklage ,Andy Borregales,2,
3rd & Dinklage ,Rams Defense,2,
Chris,Drake Maye,2,
Chris,Kyren Williams,1.25,
Chris,TreVeyon Henderson,1.5,
Chris,Davante Adams,1.25,
Chris,Puka Nacua,2,
Chris,Hunter Henry,2,
Chris,Kenneth Walker III,1.25,
Chris,Jaxon Smith-Njigba,2,
Chris,Jason Myers,1.25,
Chris,Patriots Defense,1.5,
Torn ACL,Drake Maye,1.25,
Torn ACL,Kyren Williams,2,
Torn ACL,Rhamondre Stevenson,1.25,
Torn ACL,Puka Nacua,2,
Torn ACL,Stefon Diggs,1.25,
Torn ACL,AJ Barner,1.25,
Torn ACL,Kenneth Walker III,1.5,
Torn ACL,Jaxon Smith-Njigba,1.5,
Torn ACL,Andy Borregales,2,
Torn ACL,Seahawks Defense,1.5,
Andrew,Matthew Stafford,2,
Andrew,Jaleel McLaughlin,1.25,
Andrew,TreVeyon Henderson,2,
Andrew,Courtland Sutton,1.25,
Andrew,Puka Nacua,2,
Andrew,AJ Barner,1.25,
Andrew,Kenneth Walker III,1.25,
Andrew,Jaxon Smith-Njigba,1.5,
Andrew,Wil Lutz,1.25,
Andrew,Broncos Defense,2,
Dan_Fisher,Matthew Stafford,1.25,
Dan_Fisher,Kyren Williams,2,
Dan_Fisher,Rhamondre Stevenson,1.25,
Dan_Fisher,Davante Adams,1.25,
Dan_Fisher,Puka Nacua,2,
Dan_Fisher,Colby Parkinson,1.25,
Dan_Fisher,Stefon Diggs,1.25,
Dan_Fisher,Jaxon Smith-Njigba,1.5,
Dan_Fisher,Harrison Mevis,2,
Dan_Fisher,Rams Defense,2,
Mike Hunt,Jarrett Stidham,1.25,
Mike Hunt,RJ Harvey,1.5,
Mike Hunt,Kyren Williams,2,
Mike Hunt,Marvin Mims,1.25,
Mike Hunt,Puka Nacua,2,
Mike Hunt,Colby Parkinson,1.25,
Mike Hunt,Kenneth Walker III,1.25,
Mike Hunt,Jaxon Smith-Njigba,1.5,
Mike Hunt,Jason Myers,1.5,
Mike Hunt,Broncos Defense,1.25,
