name,position,team
Bills Defense,DEF,BUF
Matt Prater,K,BUF
Josh Allen,QB,BUF
James Cook,RB,BUF
Dalton Kincaid,TE,BUF
Dawson Knox,TE,BUF
Khalil Shakir,WR,BUF
Joshua Palmer,WR,BUF
Keon Coleman,WR,BUF
Brandin Cooks,WR,BUF
Bears Defense,DEF,CHI
Cairo Santos,K,CHI
Caleb Williams,QB,CHI
D'Andre Swift,RB,CHI
Kyle Monangai,RB,CHI
Cole Kmet,TE,CHI
Colston Loveland,TE,CHI
DJ Moore,WR,CHI
Luther Burden III,WR,CHI
Rome Odunze,WR,CHI
Broncos Defense,DEF,DEN
Wil Lutz,K,DEN
Bo Nix,QB,DEN
RJ Harvey,RB,DEN
Jaleel McLaughlin,RB,DEN
Evan Engram,TE,DEN
Courtland Sutton,WR,DEN
Troy Franklin,WR,DEN
Marvin Mims,WR,DEN
Pat Bryant,WR,DEN
Texans Defense,DEF,HOU
Ka'imi Fairbairn,K,HOU
C.J. Stroud,QB,HOU
Woody Marks,RB,HOU
Dalton Schultz,TE,HOU
Nico Collins,WR,HOU
Jayden Higgins,WR,HOU
Christian Kirk,WR,HOU
Jaylin Noel,WR,HOU
Rams Defense,DEF,LAR
Harrison Mevis,K,LAR
Matthew Stafford,QB,LAR
Kyren Williams,RB,LAR
Blake Corum,RB,LAR
Colby Parkinson,TE,LAR
Terrance Ferguson,TE,LAR
Tyler Higbee,TE,LAR
Davante Adams,WR,LAR
Puka Nacua,WR,LAR
Patriots Defense,DEF,NE
Andy Borregales,K,NE
Drake Maye,QB,NE
Rhamondre Stevenson,RB,NE
TreVeyon Henderson,RB,NE
Hunter Henry,TE,NE
DeMario Douglas,WR,NE
Stefon Diggs,WR,NE
Kyle Williams,WR,NE
Kayshon Boutte,WR,NE
Seahawks Defense,DEF,SEA
Jason Myers,K,SEA
Sam Darnold,QB,SEA
Kenneth Walker III,RB,SEA
Zach Charbonnet,RB,SEA
AJ Barner,TE,SEA
Rashid Shaheed,WR,SEA
Jaxon Smith-Njigba,WR,SEA
Cooper Kupp,WR,SEA
49ers Defense,DEF,SF
Eddy Pineiro,K,SF
Brock Purdy,QB,SF
Christian McCaffrey,RB,SF
Brian Robinson,RB,SF
Jake Tonges,TE,SF
Kendrick Bourne,WR,SF
Ricky Pearsall,WR,SF
Jauan Jennings,WR,SF
